allInPings,assistMePings,commandPings,enemyMissingPings,enemyVisionPings,holdPings,getBackPings,fistBumpParticipation,pushPings,champion,Cluster
0.946987951807229,9.255421686746988,9.739759036144578,6.121686746987952,7.175903614457831,0.020481927710843374,4.703614457831326,0.20864197530864198,0.40120481927710844,Amumu,7
0.8430493273542601,4.770179372197309,6.567264573991031,6.445067264573991,4.7174887892376685,0.0011210762331838565,2.882286995515695,0.21136363636363636,0.4899103139013453,Belveth,2
1.1875,9.0078125,7.315104166666667,5.958333333333333,1.9244791666666667,0.0026041666666666665,2.9765625,0.30213903743315507,0.3020833333333333,Briar,3
1.3686486486486487,7.6302702702702705,8.486486486486486,7.838918918918919,4.305945945945946,0.001081081081081081,5.701621621621622,0.13755458515283842,1.624864864864865,Diana,5
0.8615384615384616,6.458241758241758,9.53076923076923,10.097802197802197,6.380219780219781,0.0,5.642857142857143,0.08333333333333333,0.34835164835164834,Ekko,4
1.5894538606403013,6.9001883239171375,10.123352165725047,7.7984934086629005,4.3107344632768365,0.0,4.828625235404896,0.17075471698113207,0.5028248587570622,Elise,5
0.7046632124352331,7.411053540587219,9.677029360967184,6.243523316062176,4.763385146804836,0.0,5.017271157167531,0.0872865275142315,0.5094991364421416,Evelynn,1
1.3134130146082337,4.7383798140770255,10.221779548472776,5.52988047808765,3.543160690571049,0.00398406374501992,4.559096945551129,0.11126005361930295,0.6706507304116865,FiddleSticks,1
1.4935897435897436,4.551282051282051,8.208333333333334,6.583333333333333,4.392628205128205,0.0,4.347756410256411,0.1332263242375602,0.6426282051282052,Gragas,2
1.676561295296839,6.443716268311488,10.630300693909021,8.074787972243639,4.522359290670779,0.00038550501156515033,5.791827293754819,0.12023346303501946,0.5551272166538165,Graves,5
0.8067226890756303,6.245098039215686,7.256302521008403,5.936974789915967,4.2366946778711485,0.0,3.708683473389356,0.1584852734922861,0.34173669467787116,Gwen,2
1.6349206349206349,7.011463844797178,7.499118165784832,7.628747795414462,4.783068783068783,0.0,5.481481481481482,0.2014260249554367,0.9038800705467372,Hecarim,6
1.095483870967742,7.215483870967742,10.009032258064517,4.878709677419355,4.430967741935484,0.0012903225806451613,3.574193548387097,0.41092327698309494,1.4141935483870969,Ivern,1
1.3432588916459884,6.4689826302729525,9.607113316790736,6.700578990901572,4.297766749379653,0.0,4.6923076923076925,0.19147157190635453,0.6476426799007444,JarvanIV,5
1.2951456310679612,6.812621359223301,10.670873786407768,6.794174757281553,3.9067961165048546,0.0,6.633009708737864,0.13463414634146342,0.4679611650485437,Karthus,1
1.8998257839721255,5.9991289198606275,8.732578397212544,7.194250871080139,4.066202090592334,0.0008710801393728223,4.387630662020906,0.18498659517426275,0.5940766550522648,Kayn,5
0.9105504587155964,5.318042813455658,8.669724770642201,6.740825688073395,5.014525993883792,0.00382262996941896,3.729357798165138,0.15069551777434312,0.6429663608562691,Khazix,2
0.7628742514970059,6.310179640718563,7.455089820359281,6.747305389221557,3.4646706586826346,0.0011976047904191617,3.3748502994011975,0.11487303506650544,0.39520958083832336,Kindred,2
1.1100961538461538,5.933173076923077,9.770192307692307,7.383173076923077,3.9942307692307693,0.0014423076923076924,4.853365384615385,0.12756598240469208,0.3971153846153846,LeeSin,5
0.6431034482758621,5.962931034482758,8.641379310344828,6.041379310344827,3.328448275862069,0.0,4.257758620689655,0.12746858168761221,0.42844827586206896,Lillia,2
1.5132924335378324,5.309815950920245,9.16564417177914,6.874233128834356,4.961145194274029,0.0010224948875255625,1.5224948875255624,0.1628630705394191,0.5858895705521472,MasterYi,2
0.8875255623721882,5.652351738241308,7.574642126789366,7.024539877300613,3.8486707566462166,0.0,4.32719836400818,0.15778688524590165,0.5807770961145194,MonkeyKing,2
1.4983022071307301,5.685908319185059,10.084889643463498,5.738539898132428,3.603565365025467,0.0,5.067062818336163,0.08319039451114923,0.5186757215619694,Nidalee,1
0.9025522041763341,6.2459396751740135,8.868909512761022,7.062645011600928,3.4501160092807424,0.001160092807424594,4.916473317865429,0.2016509433962264,0.654292343387471,Nocturne,5
1.3970223325062034,6.107940446650124,8.074441687344914,5.9826302729528535,4.800248138957817,0.0,4.299007444168734,0.1656210790464241,0.543424317617866,Nunu,2
2.5,5.557291666666667,10.255208333333334,6.604166666666667,3.5677083333333335,0.0,6.885416666666667,0.09375,0.65625,Rammus,1
1.9101497504159735,5.690515806988353,9.70881863560732,7.653910149750416,6.449251247920133,0.0,7.582362728785358,0.21,1.2362728785357737,RekSai,5
1.3517587939698492,6.748743718592965,6.5125628140703515,7.233668341708543,5.28643216080402,0.0,4.874371859296482,0.21558441558441557,0.6055276381909548,Rengar,6
2.1035911602209945,6.040055248618785,11.722375690607734,7.074585635359116,2.4709944751381214,0.0,4.8397790055248615,0.2614742698191933,0.5441988950276243,Sejuani,1
0.6294466403162056,4.180830039525691,7.370553359683795,6.188735177865612,5.686758893280633,0.0009881422924901185,2.447628458498024,0.11271975180972078,1.0296442687747036,Shaco,2
0.8857142857142857,5.420408163265306,7.477551020408163,6.155102040816327,3.6612244897959183,0.0,3.6163265306122447,0.11065573770491803,0.27346938775510204,Shyvana,2
1.0525451559934318,4.807881773399015,8.276683087027914,6.5911330049261085,3.4827586206896552,0.0,4.401477832512315,0.16420361247947454,0.5172413793103449,Skarner,2
1.6389473684210527,6.3,12.01157894736842,11.549473684210525,4.629473684210526,0.0,5.66421052631579,0.11016949152542373,0.5336842105263158,Taliyah,4
0.9683210137275607,4.598732840549102,7.958817317845829,6.582893347412883,5.543822597676875,0.0,3.680042238648363,0.1951219512195122,0.5628299894403379,Talon,2
0.8553326293558606,4.982048574445618,6.739176346356917,6.639915522703274,3.515311510031679,0.0,4.117212249208025,0.23429179978700745,0.6916578669482577,Udyr,2
1.1675075681130171,5.459132189707367,9.26135216952573,7.178607467204843,3.9556004036326944,0.0,6.136226034308779,0.11472081218274112,0.35923309788092833,Vi,5
1.444515306122449,5.777742346938775,8.925701530612244,7.383928571428571,4.880739795918367,0.0,4.619260204081633,0.12375441980070717,0.48533163265306123,Viego,5
1.511111111111111,5.962091503267974,7.269281045751634,6.7633986928104575,7.94640522875817,0.0,4.363398692810457,0.134640522875817,0.6535947712418301,Volibear,6
1.62109375,5.657552083333333,6.354166666666667,5.860677083333333,4.270833333333333,0.0,2.54296875,0.13385826771653545,0.3059895833333333,Warwick,2
