champion,highestCrowdControlScore,timeCCingOthers,totalTimeCCDealt,assists,deaths,kills,kda,takedowns,doubleKills,damageSelfMitigated,killingSprees,largestKillingSpree,largestMultiKill,damagePerMinute,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalHeal,effectiveHealAndShielding,totalHealsOnTeammates,totalTimeSpentDead,damageTakenOnTeamPercentage,totalDamageTaken,immobilizeAndKillWithAlly,killAfterHiddenWithAlly,killParticipation,multikills,multikillsAfterAggressiveFlash,outnumberedKills,skillshotsDodged,skillshotsHit,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,teamBaronKills,teamElderDragonKills,teamRiftHeraldKills,teamDamagePercentage,tookLargeDamageSurvived
Amumu,0.14548511085611576,0.19240707773705346,0.04089293479594397,0.5566285354302081,0.7289221450935524,0.2772097724680125,0.07809593017538552,0.4274715593734997,0.13108541627188944,0.39876590101384224,0.17444311244018085,0.20151229887857075,0.22042611967155046,0.2668719811454476,0.297374762462375,0.0018538451752798863,0.14970906547357993,0.003462301237150889,0.0073069537846135926,0.7175540340207527,0.7012139423998459,0.7107790707602201,0.9227431068771107,0.4464180722320834,0.1933749965693683,0.10463938974041584,0.20442440835451797,0.24604263603672055,0.43379334182749285,0.17172885422542375,0.2352651609419932,0.5198146786418351,0.3192358020593964,0.7565685410941181,0.5636911736286541,0.5198195783942816,0.2843915220819635,0.10303567069418748
Belveth,0.01095416054930225,0.08473196016366136,0.10721912052827587,0.10417579089148532,0.27803309808336163,0.674359642881224,0.46306708596102064,0.2602297184137181,0.29493874653199703,0.2752940599930642,0.6816267514620443,0.7950009231682627,0.4040207552615682,0.27076292337466407,0.2338577402333542,3.6944646799843845e-05,0.1819839624815947,4.409391860577646e-05,5.102182916644635e-05,0.2860985005369685,0.7555222877461413,0.5970179336354989,0.5489900613095581,0.447548936301698,0.36781918194235086,0.2502122892856635,0.2534510504665691,0.4274263087201656,0.18154548544368765,0.023534759659967337,0.5940436280147444,0.5386281073020606,0.4831133345018487,0.2965331951061865,0.03893211193374324,1.0,0.3492266436730421,0.06120736904508898
Briar,0.051743099985989825,0.1440707048840449,0.0765946502446673,0.2194878833065549,1.0,0.7774456289612766,0.0,0.541192775434371,0.3506344628981012,0.4053776619573337,0.6904521708649636,0.602347641083151,0.4544895042414119,0.45320846709670753,0.48521226464488426,0.0,0.5949615053326434,2.2568388221735522e-05,8.500628817898075e-05,0.9652557070345804,0.8247708874437941,0.8498415806171943,0.9015337278706754,0.4080566952629616,0.30160238382471016,0.3000231576781195,0.3620053854374946,0.4698546829813959,0.5380491811154746,0.07733603933869211,0.6353099586581012,0.22960551512830352,0.377560746117368,0.545001535846589,0.4340087442878421,0.17798764421397384,0.478324603155589,0.2355786729913466
Diana,0.0,0.030476948442471598,0.026141927641432125,0.20963117073612092,0.7052888337818302,0.6461887930963512,0.1788809197657648,0.3750639506848028,0.3793604529092196,0.46181426929793223,0.5892946487910856,0.5926676094331429,0.46891423280175504,0.47961475496594824,0.47162719955762683,0.00014924766741085665,0.06904373418116247,0.0014247540372313583,0.004922568279666245,0.7681560404121093,0.5574798059138218,0.47530345021643117,0.3992464710442502,0.5064843772415575,0.3627691626912428,0.3243336496217174,0.39799482523332824,0.5008471884858084,0.3762120254989556,0.22423206678186086,0.5397509648127607,0.05499292932268807,0.3761726055908612,0.5960831536598179,0.4328245164297366,0.5396759918997975,0.5421907132537036,0.06630798313217973
Ekko,0.01158441035667563,0.09050565938112334,0.18430870600455068,0.18093546696443508,0.4966661202380114,0.7338958621312308,0.2906846271135637,0.4379948894694281,0.45107207942669403,0.25969248720233307,0.7564313923073419,0.7502803338363957,0.5550799397917754,0.4353733815558188,0.4521112139266608,0.0,0.21050351749857715,0.0008094980911368799,0.0030611140706428524,0.5039655059548276,0.759654164475028,0.7447592329705982,0.19356909394329072,0.5373123524155181,0.3506624841688626,0.39766732740504845,0.4315667527301382,0.5365403523444987,0.33003880344795,0.33640218385775195,0.43077819429207553,0.9312932196699798,0.39557407848082815,0.30017178094487473,0.34543619911478196,0.3550631004607028,0.4930616876079912,0.0065927631412492265
Elise,0.039542812764032674,0.12719805373072243,0.015560706657379367,0.2618559973645047,0.5102065610984503,0.7189317389948249,0.3081561154071273,0.5337440557087985,0.3251119558677754,0.07311395851329058,0.7130340737787965,0.6968955936843906,0.43229213511023534,0.42283558374471836,0.41846354526011426,0.0,0.14031949238304214,0.0016322464376018592,0.006172200224760522,0.4658380526488153,0.5797820239991692,0.4910595483197343,0.5279585318193608,0.8104323060372292,0.4722515730266408,0.26811875494307275,0.22908565605077608,0.4209104607884562,0.36143156835833135,0.004043682454453245,0.44360974863688063,0.48378031301257096,0.1289685088229232,0.4949252407815057,0.27249269979057605,0.524040840676367,0.4807138583274504,0.0
Evelynn,0.0,0.053714196448933584,0.03364079019611768,0.19214556695919294,0.3665100030336055,0.8545427045052509,0.48038034068453705,0.5956815907555524,0.3160885603641125,0.143658257313746,0.9485680237617365,0.9834221293050689,0.41600199167536633,0.4900642638844119,0.49921292419839064,0.0,0.17544389642884944,0.003022827814965901,0.011429621232259648,0.3872011598269731,0.6201380522392183,0.5639348431453114,0.44438045453459296,0.560320820973049,0.4613775089148935,0.25718443760695026,0.36250136941294875,0.5192514063887589,0.2925102275224748,0.31019782107066296,0.7574095033783284,0.6606013717131815,0.19290345605269132,0.5732203218131744,0.2835759749057856,0.448320257655733,0.5407259235038595,0.0
FiddleSticks,0.4150393204595876,0.2590059879906419,0.3839059298916201,0.4400468198093104,0.5102990001853662,0.38025095272829723,0.21240870972803128,0.3854867091251415,0.22523518001582263,0.17304265867057697,0.3523751904396949,0.3450156296020282,0.33289936970376877,0.3560180688405366,0.3867025421393973,0.0,0.27282751004992933,0.0027433459851967648,0.010373334688574612,0.5538529135700727,0.7556072482245181,0.7383689084377129,0.7475935160295102,0.633926671123195,0.3263026553056556,0.19082792066817073,0.3605703560263087,0.3172900260552778,0.1489952784629397,0.06448232310684066,0.22619434023110627,0.029776104012829263,0.085811061693717,0.4375567511467606,0.3799761388814492,0.13921284260057654,0.4073021573141604,0.0
Gragas,0.08281218920316664,0.1664880942990299,0.17626652433147966,0.34299478660207916,0.41037742513219166,0.5851967003130958,0.3668013591463699,0.49044225466617375,0.28590985525930734,0.23679311961706753,0.5703172996255129,0.5855546882405018,0.40652278208576065,0.4383630188804633,0.4776707462891611,0.0,0.21094202186493027,0.0008471884202154968,0.003202872254037096,0.42861810096622244,0.6425453289556454,0.6253439797211465,0.9020966319594745,0.716337187616561,0.33029654171382017,0.2481288399003242,0.3553649981272333,0.332594700379548,0.291914630117987,0.08805565597452872,0.35468310366480726,0.31657730116175153,0.25941606098272985,0.6524056722253899,0.14834666873818586,0.3849327293788405,0.4757075213470483,0.01824346625858913
Graves,0.0029716728548858907,0.08388299700134547,0.20060632524928873,0.10954406621414703,0.535707085901679,0.7603671058360431,0.23081340616644597,0.3689105346602246,0.506559242739415,0.13067654563223804,0.7767208244214169,0.7238118600508194,0.5760715742071856,0.49095006691558835,0.4918296433085317,0.0,0.06396425023352495,0.0,0.0,0.5471283202577857,0.4888565707455842,0.3897262258179588,0.000871365503582707,0.7197606640060119,0.40625133157141535,0.45349090477440424,0.5786011623996208,0.3487751440184749,0.10578658722179124,0.30064924348634886,0.39620737073696743,0.3445986994399798,0.15944483184265457,0.39748565232132504,0.3587918044104247,0.38817030407567654,0.5722178095189487,0.0071030329193977094
